comment,publishedAt,language
"PURNA TUGAS PAK PRESIDEN GADA, PADALAH VIRAL",2025-01-22T07:17:58Z,vi
SUPER MANTAP âšœ ğ ğ” ğŠ ğˆ ğ“ ğŸ– ğŸ– ğŸ– âšœ,2025-01-22T07:16:18Z,de
"konsepnya bagus lo
tapi sayangnya belum bisa terlaksana",2025-01-22T07:16:17Z,id
Kurang konsep  tentang segala kelakuan dari Partai Coklat bang,2025-01-22T07:15:17Z,id
"Makasihh udah tetap memutuskan untuk share storyboardnya bg chand! di kepala saya udah kebayang betapa bagusnya rewind ini, semoga tahun 2025 bisa terwujud sesuai kualitas dan harapan bg chand dan team!",2025-01-22T07:15:08Z,id
"Kira2 mungkin gak ya dibalikin lagi jadi ""youtube rewind""?ğŸ¤”",2025-01-22T07:13:18Z,id
Pergantian tahun tanpa rewind tuh berasa banget kosong nya ğŸ˜¢ semoga tahun depan ada lagi ya,2025-01-22T07:12:23Z,id
9.48 dan bendera merah putih tetap dipegang jokowi? hmm,2025-01-22T07:11:43Z,id
Kurangin musik tiktonya,2025-01-22T07:10:52Z,id
"selalu keren, ini saya anggap jadi rewind indonesia 2024, FIX",2025-01-22T07:09:58Z,id
"Tim2one keren..
And also Ericko Lim as yt rewind director in his prime ğŸ”¥",2025-01-22T07:08:58Z,en
"NOTED : ""TIDAK ADA REWIND INDONESIA 2024""",2025-01-22T07:07:37Z,en
"gapapa bang chandra, gua mengerti alesan kenapa rewind tahun 2024 ini belum bisa terlaksana. gua penikmat konten lu dari 2014 sampe adanya rewind indonesia ada sampe yang terakhir 2023 juga merasa kalo rewind indonesia emang harus istirahat dulu sampe nanti di rewind selanjut nya (which is gatau kapan ada lagi). semoga lu sukses selalu dan bisa selalu menyajikan konten yang lebih baik lagi di tahun ini, we will miss the rewind indonesia:)",2025-01-22T07:06:50Z,id
Always go up brother,2025-01-22T07:06:45Z,en
"YouTube Rewind sekarang ga seru 
Ini bukan YouTube Rewind, Tetapi TikTok Rewind
Biasanya Di Upload ke Akun Resmi @IndonesianCreator 

Sukses terus Bang @Tim2One - CandraLiow
Semoga next Akhir tahun ada 
YouTube Rewind 2025",2025-01-22T07:05:34Z,id
Storyboard nya aja keren gini apalagi kalo jadi ya?,2025-01-22T07:04:26Z,id
Still got me a goosebumps,2025-01-22T07:03:57Z,en
bang ngurusun rewaind mulu,2025-01-22T07:03:41Z,id
ABSOLUTELY CINEMA,2025-01-22T07:02:22Z,cy
ga tega nontonyaa cok,2025-01-22T07:02:21Z,tl
Padahal gua nunggu rewind 2024 soalnya bnyak bnget momen yang berkesan,2025-01-22T07:01:12Z,id
"bg, mau kasi saran, coba bikin merch unik dr nostalgia perjalanan YouTube indonesi, dijual limited aja, misalnya isinya illustrasi layout youtube dlu di isi konten viral di jamannya, mungkin biasa aja, tpi nostalgianya dapet, saya illustrator digital 2D siap bantuin â¤",2025-01-22T06:59:01Z,id
"Mantap bg liaow dan crew, Sampe Merinding w

Gpp bg semangat, kami dukung bg liaowğŸ‘",2025-01-22T06:58:58Z,id
"Gapapa, bang... kalian semua tetap keren...",2025-01-22T06:58:42Z,id
"Gilee, dari animation story board aja udah bikin merinding
semangatt",2025-01-22T06:58:14Z,id
Absolute cinema,2025-01-22T06:57:51Z,ro
Semoga ga ajak wili salim,2025-01-22T06:56:56Z,id
"Setelah bryan furran jadi aktor, rewindnya terbawa karakter beliauğŸ˜‚",2025-01-22T06:56:50Z,id
"kultur negatif Indonesia yang mudah2an kedepannya bisa dihilangkan adalah, menganggap ""pemberian gratis"" sebagai kewajiban ketika dilakukan berkali-kali, contoh di dunia nyata orang yang suka ngasih uang ke pengemis yang rutin nyimpang ke rumahnya sekalinya ga dikasih langsung marah-marah, saudara yang suka dikasih uang hasil nafkah saudara lainnya yang memang lebih makmur/sukses ketika si orangnya ngeh sering menyuapi saudaranya justru hal yang buruk dan berhenti ngasih lagi, saudara2nya langsung marah, malah pernah ada kejadian penyanyi yang  mobilnya langsung dibakar oleh sibling2nya...dst.. dan fenomena itu kurleb terjadi di rewind ini... yuk sama2 belajar lebih saling menghargai siapapun, lebih membiasakan cari tahu terlebih dahulu daripada langsung menghakimi, dan belajar berterima kasih sampai akhirnya bisa jd kultur negeri ini.",2025-01-22T06:55:54Z,id
Bang ishowspeed abang ajak rewind indonesia,2025-01-22T06:55:30Z,id
"Baru storyboard aja udah merinding, ga kebayang kalo jadinya",2025-01-22T06:54:49Z,id
masi menunggu Indonesia yang bisa bersatu untuk hal-hal seperti ini!,2025-01-22T06:54:21Z,id
"Yang pengen chandrw liow sih Regenerasi masalahnya chandraliow dari tahun ke tahun selalu banyak dia kebayang njir capek nya dan pasti otak bner bner kekuras parah, semua pasti nolak karena DANA",2025-01-22T06:52:04Z,id
"Bang next klo mau bikin rewind indo kalau memang dr modal kurang, coba deh open donasi atau saweria, pada banyak yg mau kok nyumbang cuma2 pasti bisa, kesempatan untuk melibatkan penonton untuk ikut serta dalam rewind indonesia",2025-01-22T06:51:46Z,id
kalo sekeren ini nanti sponsor nya dimana bang?,2025-01-22T06:51:06Z,id
tetap semngat bang chandra kami tunggu rewind indo 2025 ,2025-01-22T06:50:28Z,id
amazingggâ¤â¤â¤â¤,2025-01-22T06:49:29Z,tl
"apa pun itu terima kasih buat dedikasi bang Chandra Liow beserta tim, kerenn terus idenya!! dari video ini bisa dilihat bahwa segala sesuatu ngga bisa dipaksain bakal selalu ada, tapi semangat berbagi, bertumbuh, dan berkembang bersama untuk menjaga konsistensi itu hal luar biasa dan patut buat diapresiasi. terima kasih juga udah mau speak up karena pasti berat bgt untuk ngehandle banyak orang dengan berbagai karakter. semoga semua teman-teman yang bergerak di industri kreatif bakal tetap terus berkarya dengan style masing-masing, dan reminder buat kita semua untuk apresiasi hal sekecil apa pun, karena mungkin yang menurut kita terlihat mudah belum tentu realitanya semudah itu, sukses terus yaaa! be nice to everyone!",2025-01-22T06:49:01Z,id
Trash,2025-01-22T06:48:54Z,en
2024 tahunnya AGUS,2025-01-22T06:48:11Z,id
"Sungguh merindingnya ngeliatnya,,keren lu bang ğŸ‘ğŸ»",2025-01-22T06:46:23Z,id
1 kalimat *Thanks CandraLiow*,2025-01-22T06:46:13Z,en
Kynya nggak ada yg terlalu nanyain rewind deh ğŸ¤¨?,2025-01-22T06:45:36Z,id
dari konsepnya saja sudah bagus,2025-01-22T06:45:30Z,id
pdhl cmn animasi tp bikin haru,2025-01-22T06:44:47Z,id
Concept Draft aja udh keliatan keren ğŸ˜ğŸ”¥ğŸ”¥,2025-01-22T06:44:34Z,id
Konsep yang luar biasa,2025-01-22T06:44:31Z,id
"ini masih ""banyangkan lohh"" gmn kalo jadii, buehhh pecah parahh sihh RI2024",2025-01-22T06:44:24Z,id
Kita tunggu formula barunya,2025-01-22T06:42:52Z,id
Sayanggg bgt,2025-01-22T06:42:19Z,tl
,2025-01-22T06:41:13Z,unknown
"1:39 rewind cuma gambar gini juga oke loh, entah kenapa lebih masuk bgt ""rewind"" nya karna dapet screenshoot/gambarnya langsung dari sumbernya wkwkkw, jujur daripada bikin yang kek maren2, bener emang bakalan ketebak cerita terus mashup dstnya, dan mungkin biayanya juga enggak murah.

2025 nanti, rewindnya kek 1:39 aja dah bang kayaknya menarik tapi lebih panjang....",2025-01-22T06:40:45Z,id
ini yg kita heran2 kok rewind Indonesia 2024 ga keluar keluar ehh ternyata hanya visual ajağŸ˜¡ğŸ˜¢,2025-01-22T06:40:24Z,id
"MEMANG TIDAK MUDAH MEREALISASIKAN INI SEMUA, SAYA RESPECT BUAT KAK CHANDRA & TEAM SEMANGAT BERKARYA BANG, SAYA BANGGA.",2025-01-22T06:40:18Z,en
Membosankan ğŸ¤®,2025-01-22T06:40:07Z,id
"Coy, konsep doang padahal tapi bisa-bisa airmata jatuhğŸ˜­",2025-01-22T06:38:53Z,id
:(,2025-01-22T06:38:04Z,unknown
Silahkan bayangkan finalnya di otak masing-masing menurut versi kalian masing-masing ğŸ˜‚ Thank you Bang Chandra konsepnya ğŸ‘ğŸ‘ğŸ‘,2025-01-22T06:38:02Z,id
KEREEEN BENGEEEET!!!!,2025-01-22T06:37:53Z,id
Ini adalah video rewind Indonesia terbaik menurut gue....,2025-01-22T06:37:27Z,id
Comeback â¤â¤,2025-01-22T06:36:45Z,en
14:25 lu gak perlu minta maaf bg,2025-01-22T06:35:49Z,id
RESPECT â™¥â™¥,2025-01-22T06:34:31Z,en
salut sihh. ngebayanginnya aja udah pusingg,2025-01-22T06:33:54Z,id
"the original tim2one that we has been knew is back, full of unthinkable brilliant ideas that could be mindblowing, smoga rewind 2025 lebih pecah pagi",2025-01-22T06:33:41Z,en
baru sadar ga ada rewind 2024.. but thanks mas chandra liow udah buat ini,2025-01-22T06:33:36Z,id
"Jelek, ada Jokowi.",2025-01-22T06:33:07Z,pl
"Bang gue nontonnya campur aduk banget. Terharunya dapet, keselnya dapet, gregetnya dapet, humornya juga dapet. Tapi intinya, gue bangga banget sama semua yang selalu usahain buat merealisasikan Rewind. Menurut gue, video kaya gini penting banget buat nyadarin orang2 yang selama ini ga sevisi. Gue udah jadi viewer lo dari 2015, bang. Lo selalu keren. Sukses terus, ya!â¤",2025-01-22T06:32:16Z,id
"Cuma konsep, tapi udah bikin mata berkaca-kaca ğŸ¥¹
Mangat bang!
Take your time",2025-01-22T06:29:55Z,id
"Bang, lo asli kereen banget... T^T thank you untuk videonnya, Semagnat terus Bang",2025-01-22T06:29:30Z,id
Indonesia menang Miss Supranational 2024 dan Mis cosmo 2024 harusnya di up,2025-01-22T06:28:49Z,id
can't wait,2025-01-22T06:26:23Z,cy
HINDIA MANAAAAAAA KOK GAK ADAA,2025-01-22T06:25:52Z,hu
12:36 masuk akal bgt.. biar terus ada tiap tahun.. turunkan standart yang penting semua moment bisa tersampaikan..,2025-01-22T06:25:34Z,id
"""CIRCLE"" Rewind",2025-01-22T06:22:26Z,en
"Nunggu pioneer baru aj bg, ada kalanya istirahat diperlukan agar bakat baru muncul utk meneruskan project ini",2025-01-22T06:20:57Z,id
Respect,2025-01-22T06:19:56Z,es
"Ini mah udah rewind dgn konsep yg berbeda,thx koh",2025-01-22T06:18:05Z,id
"antum paling ngeri memang. jangan terlalu kejar standar mu bang, ingat SDM kita gak setinggi standar mu. EHE",2025-01-22T06:17:22Z,id
ini aja udah bikin merinding gimana kalau jadi,2025-01-22T06:16:59Z,id
Keren banget kakâ¤â¤,2025-01-22T06:16:21Z,id
"Storyboard nya aja udah MELEDAK!!! ğŸ¥ºğŸ’¥
Semangat selalu para creative Indonesia",2025-01-22T06:15:33Z,id
With loveâ¤,2025-01-22T06:15:33Z,en
"Yutuber skrg mah kagak ada faedahnya beda sama yg duluÂ²... 

Apalagi yutuber ML hadehh
Mabar 80K coment album 50K
Ngt0d....",2025-01-22T06:15:03Z,id
"Kami bangga dengan kreator yang besar dan gak ngitung dedikasinya berdasarkan uang saja, memang kebanyakan dari netizen indonesia termasuk saya sendiri memang banyak berharap jika ada suatu karya yang menjadi tontonan kami di penghujung tahun, tapi itu bukan kewajiban kalian. Semoga saja sebagian besar dari kami ada yang akan menjadi penerus kreator yang memang berkarya bukan hanya mencari sensasi saja. Sekali lagi terimakasih atas kerja kerasnya dan terimakasih sudah mau buka suara. we all appreciate it",2025-01-22T06:14:29Z,id
"kurang 1 bang, kasus Vina Cirebon...",2025-01-22T06:14:23Z,tl
Ketutup sama Wonderland Indonesia-nya Alvy Rev IdenyağŸ˜,2025-01-22T06:13:57Z,id
Ketutup sama Wonderland Indonesia-nya Alvy Rev IdenyağŸ˜,2025-01-22T06:13:34Z,id
"Video ini mengandung Keluh kesah dan sekaligus rewind 2024 
Tanpa sadar semua itu termuat didalam video ini

Semoga beneran semua keluh kesahnya bisa menemukan titik temunya",2025-01-22T06:13:17Z,id
"Agak sayang aja sih klo IDEA semahal ini terkendala karena yg nama nya BIAYA PRODUKSI ckckck Nangges aku tuh, I mean like persetan dengan kembang api tahun baru, cuma REWIND yg kutunggu-tunggu. YouTube Indonesia ga ada CSR apa nih ckckck",2025-01-22T06:12:42Z,id
walau gaada gapopo bang tetep rispek,2025-01-22T06:12:38Z,id
"Bikin gini aja udah setengah effort youtub rewind bg, salut buat ente ğŸ‰ğŸ‰",2025-01-22T06:12:18Z,id
"sayang sekali tidak ada rewind Indonesia 2024, pdhl banyak moment epicnya",2025-01-22T06:11:31Z,id
11:11 alasan pada gamau jadi director ğŸ˜…,2025-01-22T06:10:55Z,id
"Bule : ""aishhh yaudh lah, HAMPIR juga gpp""

*Proceed to react",2025-01-22T06:10:52Z,en
lagu pas animatic storyboard rilisin banggg pls,2025-01-22T06:09:46Z,tl
Sadboy tiktok ada kah?,2025-01-22T06:09:17Z,id
woilahh sayang beanget padahal storyboard udah bagus banget ini :(,2025-01-22T06:06:19Z,id
dam,2025-01-22T06:06:06Z,so
"Patungan lah para content creator yt, pada kaya semua kan ğŸ˜‚ğŸ˜‚ğŸ˜‚ bantuin chandra",2025-01-22T06:05:21Z,id
